unit_id,apn,address,unit_label,bedrooms,first_seen_at
1009-ashland-ave-b,4285012015,1009 ASHLAND AVE,B,1,2026-06-07
1009-ashland-ave-c,4285012015,1009 ASHLAND AVE,C,1,2026-06-07
1009-bay-st,4284016019,1009 BAY ST,,2,2026-06-07
1009-bay-st-1,4284016019,1009 BAY ST,1,2,2026-06-07
1009-bay-st-2,4284016019,1009 BAY ST,2,2,2026-06-07
1009-bay-st-3,4284016019,1009 BAY ST,3,2,2026-06-07
101-california-ave-1003,4292027087,101 CALIFORNIA AVE,1003,0,2026-06-07
101-california-ave-103,4292027025,101 CALIFORNIA AVE,103,1,2026-06-07
101-california-ave-1202,4292027100,101 CALIFORNIA AVE,1202,0,2026-06-07
101-california-ave-1402,4292027107,101 CALIFORNIA AVE,1402,2,2026-06-07
101-california-ave-1403,4292027108,101 CALIFORNIA AVE,1403,1,2026-06-07
101-california-ave-1405,4292027110,101 CALIFORNIA AVE,1405,1,2026-06-07
101-california-ave-203,4292027031,101 CALIFORNIA AVE,203,1,2026-06-07
101-california-ave-207,4292027035,101 CALIFORNIA AVE,207,2,2026-06-07
101-california-ave-301,4292027036,101 CALIFORNIA AVE,301,2,2026-06-07
101-california-ave-405,4292027047,101 CALIFORNIA AVE,405,1,2026-06-07
101-california-ave-505,4292027054,101 CALIFORNIA AVE,505,0,2026-06-07
101-california-ave-506,4292027055,101 CALIFORNIA AVE,506,2,2026-06-07
101-california-ave-601,4292027057,101 CALIFORNIA AVE,601,2,2026-06-07
101-california-ave-602,4292027058,101 CALIFORNIA AVE,602,2,2026-06-07
101-california-ave-605,4292027061,101 CALIFORNIA AVE,605,1,2026-06-07
101-california-ave-607,4292027063,101 CALIFORNIA AVE,607,2,2026-06-07
101-california-ave-701,4292027064,101 CALIFORNIA AVE,701,0,2026-06-07
101-california-ave-805,4292027075,101 CALIFORNIA AVE,805,0,2026-06-07
101-california-ave-807,4292027077,101 CALIFORNIA AVE,807,0,2026-06-07
101-california-ave-905,4292027082,101 CALIFORNIA AVE,905,1,2026-06-07
101-marguerita-ave-a,4293007018,101 MARGUERITA AVE,A,2,2026-06-07
101-marguerita-ave-b,4293007018,101 MARGUERITA AVE,B,2,2026-06-07
101-marguerita-ave-c,4293007018,101 MARGUERITA AVE,C,2,2026-06-07
101-marguerita-ave-d,4293007018,101 MARGUERITA AVE,D,2,2026-06-07
101-palisades-ave,4293015001,101 PALISADES AVE,,2,2026-06-07
101-strand-st-a,4289022006,101 STRAND ST,A,2,2026-06-07
101-strand-st-b,4289022006,101 STRAND ST,B,1,2026-06-07
101-strand-st-c,4289022006,101 STRAND ST,C,2,2026-06-07
101-strand-st-d,4289022006,101 STRAND ST,D,1,2026-06-07
1010-10th-st-1,4281029002,1010 10TH ST,1,2,2026-06-07
1010-10th-st-2,4281029002,1010 10TH ST,2,1,2026-06-07
1010-10th-st-3,4281029002,1010 10TH ST,3,1,2026-06-07
1010-10th-st-4,4281029002,1010 10TH ST,4,1,2026-06-07
1010-10th-st-5,4281029002,1010 10TH ST,5,1,2026-06-07
1010-10th-st-6,4281029002,1010 10TH ST,6,1,2026-06-07
1010-14th-st,4281013002,1010 14TH ST,,1,2026-06-07
1010-19th-st-10,4277026053,1010 19TH ST,10,1,2026-06-07
1010-19th-st-11,4277026054,1010 19TH ST,11,2,2026-06-07
1010-19th-st-2,4277026041,1010 19TH ST,2,2,2026-06-07
1010-19th-st-3,4277026042,1010 19TH ST,3,2,2026-06-07
1010-19th-st-4,4277026043,1010 19TH ST,4,2,2026-06-07
1010-19th-st-6,4277026045,1010 19TH ST,6,2,2026-06-07
1010-19th-st-8,4277026047,1010 19TH ST,8,2,2026-06-07
1010-19th-st-9,4277026052,1010 19TH ST,9,2,2026-06-07
1010-21st-st-1,4277024022,1010 21ST ST,1,2,2026-06-07
1010-21st-st-2,4277024022,1010 21ST ST,2,2,2026-06-07
1010-21st-st-3,4277024022,1010 21ST ST,3,2,2026-06-07
1010-21st-st-4,4277024022,1010 21ST ST,4,2,2026-06-07
1010-21st-st-5,4277024022,1010 21ST ST,5,2,2026-06-07
1010-4th-st-2,4292019031,1010 4TH ST,2,2,2026-06-07
1010-4th-st-3,4292019032,1010 4TH ST,3,2,2026-06-07
1010-4th-st-4,4292019033,1010 4TH ST,4,3,2026-06-07
1010-4th-st-5,4292019034,1010 4TH ST,5,3,2026-06-07
1010-broadway,4282030024,1010 BROADWAY,,1,2026-06-07
1010-hill-st-a,4285012030,1010 HILL ST,A,1,2026-06-07
1010-hill-st-b,4285012030,1010 HILL ST,B,1,2026-06-07
1010-hill-st-c,4285012030,1010 HILL ST,C,1,2026-06-07
1010-pacific-st-a,4284013002,1010 PACIFIC ST,A,0,2026-06-07
1010-pacific-st-b,4284013002,1010 PACIFIC ST,B,2,2026-06-07
1010-pico-blvd-1,4284016002,1010 PICO BLVD,1,0,2026-06-07
1010-pico-blvd-10,4284016002,1010 PICO BLVD,10,1,2026-06-07
1010-pico-blvd-11,4284016002,1010 PICO BLVD,11,1,2026-06-07
1010-pico-blvd-12,4284016002,1010 PICO BLVD,12,0,2026-06-07
1010-pico-blvd-2,4284016002,1010 PICO BLVD,2,1,2026-06-07
1010-pico-blvd-3,4284016002,1010 PICO BLVD,3,0,2026-06-07
1010-pico-blvd-4,4284016002,1010 PICO BLVD,4,1,2026-06-07
1010-pico-blvd-5,4284016002,1010 PICO BLVD,5,1,2026-06-07
1010-pico-blvd-6,4284016002,1010 PICO BLVD,6,0,2026-06-07
1010-pico-blvd-7,4284016002,1010 PICO BLVD,7,0,2026-06-07
1010-pico-blvd-8,4284016002,1010 PICO BLVD,8,1,2026-06-07
