unit_id,apn,address,unit_label,prev_observed_at,observed_at,old_mar_cents,new_mar_cents,delta_cents,delta_pct,old_tenancy,new_tenancy,reason,mar_status_change
1008-17th-st-3,4281003044,1008 17TH ST,3,2023-07-19,2026-06-07,107200,116100,8900,8.3,,,mar_adjustment,
1008-17th-st-4,4281003044,1008 17TH ST,4,2023-07-19,2026-06-07,456500,586000,129500,28.4,2021-06-01,2024-06-22,new_tenancy,
1008-17th-st-5,4281003044,1008 17TH ST,5,2023-07-19,2026-06-07,372300,586000,213700,57.4,2007-09-07,2024-06-29,new_tenancy,
1008-17th-st-6,4281003044,1008 17TH ST,6,2023-07-19,2026-06-07,323800,344100,20300,6.3,2010-02-01,2010-02-01,mar_adjustment,
1008-20th-st-1,4277025020,1008 20TH ST,1,2023-07-19,2026-06-07,206500,223700,17200,8.3,2004-06-01,2004-06-01,mar_adjustment,
1008-20th-st-2,4277025020,1008 20TH ST,2,2023-07-19,2026-06-07,298500,318800,20300,6.8,2018-02-01,2018-02-01,mar_adjustment,
1008-20th-st-3,4277025020,1008 20TH ST,3,2023-07-19,2026-06-07,313100,333400,20300,6.5,2013-08-23,2013-08-23,mar_adjustment,
1008-20th-st-4,4277025020,1008 20TH ST,4,2023-07-19,2026-06-07,437700,458000,20300,4.6,2018-07-20,2018-07-20,mar_adjustment,
1008-20th-st-5,4277025020,1008 20TH ST,5,2023-07-19,2026-06-07,364500,384800,20300,5.6,2017-04-01,2017-04-01,mar_adjustment,
1008-20th-st-6,4277025020,1008 20TH ST,6,2023-07-19,2026-06-07,264500,284800,20300,7.7,2016-12-01,2016-12-01,mar_adjustment,
1008-20th-st-7,4277025020,1008 20TH ST,7,2023-07-19,2026-06-07,294500,314800,20300,6.9,2017-08-07,2017-08-07,mar_adjustment,
1008-20th-st-8,4277025020,1008 20TH ST,8,2023-07-19,2026-06-07,407000,427300,20300,5.0,2017-04-10,2017-04-10,mar_adjustment,
1008-2nd-st-101,4292027003,1008 2ND ST,101,2023-07-19,2026-06-07,253100,273400,20300,8.0,2010-03-20,2010-03-20,mar_adjustment,
