unit_id,apn,address,unit_label,bedrooms,status,mar_2023_cents,mar_2026_cents,mar_delta_cents,mar_pct,tenancy_2023,tenancy_2026,tenancy_changed
1018-21st-st,4277024017,1018 21ST ST,,3,present_both,141400,153200,11800,8.3,,,
1018-21st-st-a,4277024017,1018 21ST ST,A,2,present_both,175200,189800,14600,8.3,1999-02-01,1999-02-01,
1018-21st-st-b,4277024017,1018 21ST ST,B,2,present_both,450000,470300,20300,4.5,2022-05-15,2022-05-15,
1018-21st-st-c,4277024017,1018 21ST ST,C,2,present_both,293600,479800,186200,63.4,2019-04-10,2022-08-01,1
1018-21st-st-d,4277024017,1018 21ST ST,D,2,present_both,90300,97800,7500,8.3,,,
1018-23rd-st,4277022013,1018 23RD ST,,0,present_both,0,0,0,,,,
1018-26th-st,4277018008,1018 26TH ST,,0,present_both,0,0,0,,,,
1018-5th-st-a,4292014004,1018 5TH ST,A,0,present_both,92400,100200,7800,8.4,2013-12-01,2013-12-01,
1018-5th-st-b,4292014004,1018 5TH ST,B,1,present_both,127100,137700,10600,8.3,2014-05-01,2014-05-01,
1018-5th-st-c,4292014004,1018 5TH ST,C,1,present_both,106300,115200,8900,8.4,,,
1018-9th-st-1,4281034006,1018 9TH ST,1,2,present_both,174200,188700,14500,8.3,,,
1018-9th-st-10,4281034006,1018 9TH ST,10,2,present_both,336500,329500,-7000,-2.1,2021-07-01,2025-11-01,1
1018-9th-st-2,4281034006,1018 9TH ST,2,2,present_both,306500,319500,13000,4.2,2021-06-26,2026-03-15,1
1018-9th-st-3,4281034006,1018 9TH ST,3,1,present_both,153100,165800,12700,8.3,2012-02-01,2012-02-01,
1018-9th-st-4,4281034006,1018 9TH ST,4,3,present_both,418000,438300,20300,4.9,2018-06-15,2018-06-15,
1018-9th-st-5,4281034006,1018 9TH ST,5,2,present_both,340000,310000,-30000,-8.8,2022-07-08,2025-06-12,1
1018-9th-st-6,4281034006,1018 9TH ST,6,2,present_both,189500,189300,-200,-0.1,1999-05-01,1999-05-01,
1018-9th-st-7,4281034006,1018 9TH ST,7,2,present_both,266700,287000,20300,7.6,2014-06-01,2014-06-01,
1018-9th-st-8,4281034006,1018 9TH ST,8,1,present_both,241000,261000,20000,8.3,2015-08-10,2015-08-10,
1018-9th-st-9,4281034006,1018 9TH ST,9,3,present_both,459500,429500,-30000,-6.5,2022-07-22,2026-03-01,1
1018-euclid-st-100,4281018005,1018 EUCLID ST,100,0,present_both,172800,187100,14300,8.3,2018-01-22,2018-01-22,
