unit_id,apn,bedrooms,mar_status,parcel_unit_count,size_class,use_class,rcb_comparable
1001-hill-st-6,4285001006,1,controlled,7,multifamily,five_plus,1
1001-hill-st-7,4285001006,1,controlled,7,multifamily,five_plus,1
1001-pacific-st,4284014020,0,zero_mar,2,small,two_three,0
1001-pacific-st-1-2,4284014020,0,controlled,2,small,two_three,0
1001-pearl-st-a,4284013022,1,controlled,9,multifamily,five_plus,1
1001-pearl-st-b,4284013022,2,controlled,9,multifamily,five_plus,1
1001-pearl-st-c,4284013022,1,controlled,9,multifamily,five_plus,1
1001-pearl-st-d,4284013022,2,controlled,9,multifamily,five_plus,1
1001-pier-ave-a,4285028019,3+,controlled,3,small,two_three,0
1001-pier-ave-b,4285028019,2,controlled,3,small,two_three,0
1001-pier-ave-c,4285028019,2,controlled,3,small,two_three,0
1001-pine-st-a,4284011011,0,zero_mar,2,small,two_three,0
1001-pine-st-b,4284011011,0,zero_mar,2,small,two_three,0
1001-washington-ave,4281025013,1,controlled,16,multifamily,five_plus,1
1002-12th-st-101,4281021028,1,controlled,24,multifamily,five_plus,1
1002-12th-st-102,4281021028,0,controlled,24,multifamily,five_plus,1
1002-12th-st-103,4281021028,2,controlled,24,multifamily,five_plus,1
1002-12th-st-104,4281021028,2,controlled,24,multifamily,five_plus,1
1002-12th-st-105,4281021028,0,controlled,24,multifamily,five_plus,1
1002-12th-st-106,4281021028,3+,controlled,24,multifamily,five_plus,1
1002-12th-st-107,4281021028,0,controlled,24,multifamily,five_plus,1
1002-12th-st-108,4281021028,3+,controlled,24,multifamily,five_plus,1
1002-12th-st-201,4281021028,1,controlled,24,multifamily,five_plus,1
1002-12th-st-202,4281021028,1,controlled,24,multifamily,five_plus,1
1002-12th-st-203,4281021028,2,controlled,24,multifamily,five_plus,1
1002-12th-st-204,4281021028,2,controlled,24,multifamily,five_plus,1
1002-12th-st-205,4281021028,1,controlled,24,multifamily,five_plus,1
1002-12th-st-206,4281021028,1,controlled,24,multifamily,five_plus,1
1002-12th-st-207,4281021028,2,controlled,24,multifamily,five_plus,1
1002-12th-st-208,4281021028,2,controlled,24,multifamily,five_plus,1
1002-12th-st-301,4281021028,1,controlled,24,multifamily,five_plus,1
1002-12th-st-302,4281021028,1,controlled,24,multifamily,five_plus,1
1002-12th-st-303,4281021028,2,controlled,24,multifamily,five_plus,1
1002-12th-st-304,4281021028,2,controlled,24,multifamily,five_plus,1
1002-12th-st-305,4281021028,1,controlled,24,multifamily,five_plus,1
1002-12th-st-306,4281021028,1,controlled,24,multifamily,five_plus,1
1002-12th-st-307,4281021028,2,controlled,24,multifamily,five_plus,1
1002-12th-st-308,4281021028,2,controlled,24,multifamily,five_plus,1
1002-14th-st-1,4281013042,3+,controlled,1,single,single,0
1002-14th-st-10,4281013051,3+,controlled,1,single,single,0
1002-14th-st-2,4281013043,3+,controlled,1,single,single,0
1002-14th-st-3,4281013044,2,controlled,1,single,single,0
1002-14th-st-4,4281013045,3+,controlled,1,single,single,0
1002-14th-st-5,4281013046,3+,controlled,1,single,single,0
1002-14th-st-6,4281013047,3+,controlled,1,single,single,0
1002-14th-st-7,4281013048,2,controlled,1,single,single,0
1002-14th-st-8,4281013049,2,controlled,1,single,single,0
1002-14th-st-9,4281013050,3+,controlled,1,single,single,0
1002-17th-st,4281003001,2,controlled,6,multifamily,five_plus,1
1002-20th-st,4277025027,3+,controlled,1,single,single,0
1002-7th-st,4292006001,2,controlled,5,multifamily,five_plus,1
1002-bay-st,4284015001,3+,controlled,4,multifamily,four,1
1002-california-ave,4281027023,2,controlled,2,small,two_three,0
1002-grant-st-a,4284014001,3+,controlled,9,multifamily,five_plus,1
1002-grant-st-b,4284014001,2,controlled,9,multifamily,five_plus,1
1002-grant-st-c,4284014001,2,controlled,9,multifamily,five_plus,1
1002-grant-st-d,4284014001,1,controlled,9,multifamily,five_plus,1
1002-hill-st,4285012031,3+,controlled,2,small,two_three,0
1002-marine-st-1,4285036023,0,controlled,30,multifamily,two_three,0
1002-marine-st-10,4285036023,0,controlled,30,multifamily,two_three,0
1002-marine-st-11,4285036023,0,controlled,30,multifamily,two_three,0
1002-marine-st-12,4285036023,0,controlled,30,multifamily,two_three,0
1002-marine-st-13,4285036023,0,controlled,30,multifamily,two_three,0
1002-marine-st-14,4285036023,0,controlled,30,multifamily,two_three,0
1002-marine-st-15,4285036023,0,controlled,30,multifamily,two_three,0
1002-marine-st-16,4285036023,0,controlled,30,multifamily,two_three,0
1002-marine-st-2,4285036023,0,controlled,30,multifamily,two_three,0
1002-marine-st-3,4285036023,0,controlled,30,multifamily,two_three,0
1002-marine-st-4,4285036023,0,controlled,30,multifamily,two_three,0
1002-marine-st-5,4285036023,0,controlled,30,multifamily,two_three,0
1002-marine-st-6,4285036023,0,controlled,30,multifamily,two_three,0
1002-marine-st-7,4285036023,0,controlled,30,multifamily,two_three,0
1002-marine-st-8,4285036023,0,controlled,30,multifamily,two_three,0
1002-marine-st-9,4285036023,0,controlled,30,multifamily,two_three,0
1002-montana-ave,4281024024,0,controlled,5,multifamily,commercial,1
1002-pier-ave,4285029023,2,zero_mar,2,small,two_three,0
1002-pier-ave-a,4285029023,2,controlled,2,small,two_three,0
1003-12th-st,4281018024,1,controlled,9,multifamily,five_plus,1
1003-ashland-ave,4285012014,1,controlled,8,multifamily,five_plus,1
1003-ashland-ave-a,4285012014,1,controlled,8,multifamily,five_plus,1
1003-ashland-ave-b,4285012014,2,controlled,8,multifamily,five_plus,1
